공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,9,1,1,3,2,0,0,5,1,54,0,428,252,149,402,6,341,39
0,3,9,1,3,5,2,0,0,7,1,89,0,452,200,104,304,6,257,146
0,3,2,0,3,7,0,0,0,7,1,54,0,162,162,103,265,6,341,39
0,3,4,1,1,10,1,0,0,11,1,54,31,215,103,0,103,6,257,39
0,3,0,0,3,3,0,0,0,3,1,54,0,876,448,429,877,6,369,39
0,3,2,0,1,2,0,0,0,2,1,54,0,1983,969,404,1373,6,256,146
0,3,9,1,3,4,1,0,0,5,1,54,0,744,415,82,498,6,257,146
0,3,2,0,1,5,0,0,0,5,1,54,0,464,397,67,464,6,405,39
0,3,9,1,1,21,5,0,0,26,1,54,0,10503,3176,1916,5092,6,226,146
0,3,2,0,1,4,1,0,0,5,1,54,0,1047,328,44,373,6,257,39
